,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,ONS Rentals,Administration,Administration (Services),Administration
,ONS staff related,Administration,Administration (Services),Administration
,ONS Subcontracted,Administration,Administration (Services),Administration
,Other Mission Cost,Administration,Administration (Services),Administration
,"PERDIEM, EXPAT",Administration,Administration (Services),Administration
,"PERDIEM, LOCAL EMP",Administration,Administration (Services),Administration
,"PERDIEM, NON ICRC",Administration,Administration (Services),Administration
,Rent (Administration (Services)),Administration,Administration (Services),Administration
,Repair Telecm (Administration (Services)),Administration,Administration (Services),Administration
,Security service (Administration (Services)),Administration,Administration (Services),Administration
,Seminar,Administration,Administration (Services),Administration
,staff,Administration,Administration (Services),Administration
,Staff benefits,Administration,Administration (Services),Administration
,Staff transport,Administration,Administration (Services),Administration
,Stationary works,Administration,Administration (Services),Administration
,Subscriptions,Administration,Administration (Services),Administration
,Audio Visio Material (Services),Administration,Administration (Services),Administration
,design (Audio Visio Material (Services)),Administration,Administration (Services),Administration
,Building/Construction (Services),"Construction, Engineering","Engineering, Building/Construction (Services)","Construction, Engineering"
,Building works (Building/Construction (Services)),"Construction, Engineering","Engineering, Building/Construction (Services)","Construction, Engineering"
,Maintenance Premises (Building/Construction (Services)),"Construction, Engineering","Engineering, Building/Construction (Services)","Construction, Engineering"
,Cost Time Resource,Other,Service Items (Services),Other
,Agric Veterinary (Cost Time Resource),"Medical, Health",Service Items (Services),"Medical, Health"
,Agriculture (Cost Time Resource),Relief,Service items (Services),Relief
,Building works (Cost Time Resource),Other,Service Items (Services),Other
,Civil works,Other,Service Items (Services),Other
,CLEA (Cost Time Resource),Other,Service Items (Services),Other
,Electricity works,Other,Service Items (Services),Other
,Engineering (Cost Time Resource),Other,Service Items (Services),Other
,E-voucher,Cash & Voucher,Service items (Services),Cash & Voucher
,Financial assistan,Cash & Voucher,Service items (Services),Cash & Voucher
,Fumigation,Other,Service Items (Services),Other
,Good destruction,Other,Service Items (Services),Other
,Hospitalization fe,"Medical, Health",Service Items (Services),"Medical, Health"
,Kit assemblying,Other,Service Items (Services),Other
,Laboratory (Cost Time Resource),Other,Service Items (Services),Other
,Marketing,Administration,Service items (Services),Administration
,Mechanical (Cost Time Resource),Other,Service Items (Services),Other
,"Media, fees",Administration,Service items (Services),Administration
,Moving,Administration,Service items (Services),Administration
,Prepayment,Other,Service Items (Services),Other
,Printing services (Cost Time Resource),Administration,Service items (Services),Administration
,Rent (Cost Time Resource),Other,Service Items (Services),Other
,Sanitation works,WASH,Service items (Services),WASH
,Serivce Related to IT (Cost Time Resource),"IT, Radio, Telecom",Service Items (Services),"IT, Radio, Telecom"
,Slaughtering,Relief,Service items (Services),Relief
,Transfer,Other,Service Items (Services),Other
,Water system works,WASH,Service items (Services),WASH
,Counsel,Other,Councel Services (Services),Other
,Audit,Other,Councel Services (Services),Other
,Consultant (Counsel),Other,Councel Services (Services),Other
,Engineer consultai,Other,Councel Services (Services),Other
,Freight forwarding,Transport,Councel Services (Services),Transport
,Inspection of Goods,Other,Councel Services (Services),Other
,Legal and External Counsel,Other,Councel Services (Services),Other
,Study course / Tra,Other,Councel Services (Services),Other
,Translation,Administration,Councel Services (Services),Administration
,For Budget (Services),Other,Service Items (Services),Other
,FOR Budget ONLY (For Budget (Services)),Other,Service Items (Services),Other
,Maintainance,Other,Maintainance (Services),Other
,Hardware maintainance,Other,Maintainance (Services),Other
,HouseHold (Maintainance),Other,Maintainance (Services),Other
,Install/maintain M,Other,Maintainance (Services),Other
,Maintainance of Software,"IT, Radio, Telecom",Maintainance (Services),"IT, Radio, Telecom"
,Maintenance Premises (Maintainance),Other,Maintainance (Services),Other
,Mechanical (Maintainance),Other,Maintainance (Services),Other
,Transport / Shipping (Maintainance),Transport,Maintainance (Services),Transport
,Water and sanitati,WASH,Maintainance (Services),WASH
,PMD Publications/Films (Services),Administration,Service items (Services),Administration
,Audiovis. prod. (f,Administration,Service items (Services),Administration
,Consultant (PMD Publications/Films (Services)),Administration,Service items (Services),Administration
,design (PMD Publications/Films (Services)),Administration,Service items (Services),Administration
,Miscellanous Items (PMD Publications/Films (Services)),Administration,Service items (Services),Administration
,Photo library,Administration,Service items (Services),Administration
,Photolibrary buyin,Administration,Service items (Services),Administration
,Printing services (PMD Publications/Films (Services)),Administration,Service items (Services),Administration
,Publication layout,Administration,Service items (Services),Administration
,Publication Proof r,Administration,Service items (Services),Administration
,Reprint publicatio,Administration,Service items (Services),Administration
,Repair (Services),Other,Service Items (Services),Other
,Mechanical (Repair (Services)),Other,Service Items (Services),Other
,Repair IT Equipment,"IT, Radio, Telecom",Service items (Services),"IT, Radio, Telecom"
,Repair medical equipment,"Medical, Health",Service Items (Services),"Medical, Health"
,Repair Telecm (Repair (Services)),"IT, Radio, Telecom",Service Items (Services),"IT, Radio, Telecom"
,IT Services,"IT, Radio, Telecom",IT/Telecom Related Service Fees (Services),"IT, Radio, Telecom"
,Service Related to IT,"IT, Radio, Telecom",IT/Telecom Related Service Fees (Services),"IT, Radio, Telecom"
,Transports,Fleet,Transports (Services),Fleet
,Fuels,Fleet,"Vehicle Fuel, Gas and Oil (Services)",Fleet
,Packing / Handling,Transport,Packing / Handling (Services),Transport
,Passenger transpor,Administration,Service items (Services),Administration
,Transport / Shipping (Transports),Transport,Transport / Shipping (Transports) (Services),Transport
,Transport,Fleet,Transport Items,Fleet
,Bicycles,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Bicycles spare par,Fleet,Vehicle Spareparts and accessories,Fleet
,City bike,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Electrical bike,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Mountain bike,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Boats,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Various Boats (Boats),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Yamaha spare parts (Boats),Fleet,Vehicle Spareparts and accessories,Fleet
,Dacia,Fleet,Cars,Fleet
,Duster (Dacia),Fleet,Cars,Fleet
,Duster/Dacia Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Duster/Dacia Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Forklift,Fleet,Other Machinery & Equipment,Fleet
,Ford everest,Fleet,Other Machinery & Equipment,Fleet
,Forklifts,Fleet,Other Machinery & Equipment,Fleet
,Hino,Fleet,Other Machinery & Equipment,Fleet
,Ranger,Fleet,Other Machinery & Equipment,Fleet
,Truck (Hino),Fleet,Other Machinery & Equipment,Fleet
,Honda,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Various Motorbikes (Honda),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Hyundai,Fleet,Cars,Fleet
,Avanti,Fleet,Cars,Fleet
,Sante Fe,Fleet,Cars,Fleet
,ILSBO trailer spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (ILSBO trailer spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,KIA,Fleet,Cars,Fleet
,Sportage,Fleet,Cars,Fleet
,KIA Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Land Rover,Fleet,Cars,Fleet
,Defender,Fleet,Cars,Fleet
,Discovery,Fleet,Cars,Fleet
,Freelander,Fleet,Cars,Fleet
,Landrover Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Landrover Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Leyland,Fleet,Other Machinery & Equipment,Fleet
,Fuel Tanker,Fleet,Other Machinery & Equipment,Fleet
,Man,Fleet,Other Machinery & Equipment,Fleet
,Man Vehicles,Fleet,Other Machinery & Equipment,Fleet
,Man Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Man Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Mercedes,Fleet,Cars,Fleet
,Actros Truck,Fleet,Cars,Fleet
,Gtd 290,Fleet,Cars,Fleet
,MB Ambulances,Fleet,Ambulance,Fleet
,Mercedes MB100,Fleet,Cars,Fleet
,Mercedes Sprinter,Fleet,Cars,Fleet
,Mercedes Vehicles,Fleet,Cars,Fleet
,Truck 1417,Fleet,Cars,Fleet
,Truck 1828,Fleet,Cars,Fleet
,Mercedes Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Mercedes Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellaneous (Transport),Fleet,Other Machinery & Equipment,Fleet
,Digger,Fleet,Other Machinery & Equipment,Fleet
,Miscellanous Items (Miscellaneous (Transport)),Fleet,Vehicle Spareparts and accessories,Fleet
,Multibox (Miscellaneous (Transport)),Fleet,Vehicle Spareparts and accessories,Fleet
,Tractor for agricu,Fleet,Other Machinery & Equipment,Fleet
,Truck (Miscellaneous (Transport)),Fleet,Cars,Fleet
,Mitsubishi Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Mitsubishi Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Nissan,Fleet,Cars,Fleet
,Civilian Bus,Fleet,Cars,Fleet
,Leaf,Fleet,Cars,Fleet
,NISSAN QASHQAI,Fleet,Cars,Fleet
,Nissan Spareparts,Fleet,Cars,Fleet
,Nissan X-Trail Pet,Fleet,Cars,Fleet
,Patrol,Fleet,Cars,Fleet
,Pick Up double cab,Fleet,Cars,Fleet
,Pick Up single cab,Fleet,Cars,Fleet
,Urvan,Fleet,Cars,Fleet
,Peugeot,Fleet,Cars,Fleet
,2008,Fleet,Cars,Fleet
,207 Sedan,Fleet,Cars,Fleet
,207 Station Wagon,Fleet,Cars,Fleet
,308 Station wagon,Fleet,Cars,Fleet
,406 Berline,Fleet,Cars,Fleet
,Expert Combi Peugeot,Fleet,Cars,Fleet
,Partner Combi,Fleet,Cars,Fleet
,Peugeot 107 Sedan,Fleet,Cars,Fleet
,Peugeot 208 Sedan,Fleet,Cars,Fleet
,Peugeot 3008,Fleet,Cars,Fleet
,Peugeot 301 Sedan,Fleet,Cars,Fleet
,Peugeot 308 Sedan,Fleet,Cars,Fleet
,Peugeot 407,Fleet,Cars,Fleet
,Peugeot RIFTER,Fleet,Cars,Fleet
,Traveler,Fleet,Cars,Fleet
,Peugeot Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Peugeot Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Tools (Peugeot Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Renault,Fleet,Cars,Fleet
,Dokker,Fleet,Cars,Fleet
,Duster (Renault),Fleet,Cars,Fleet
,Kerax,Fleet,Cars,Fleet
,Lander,Fleet,Cars,Fleet
,Lodgy,Fleet,Cars,Fleet
,Panel Van,Fleet,Cars,Fleet
,Sedan,Fleet,Cars,Fleet
,Truck (Renault),Fleet,Cars,Fleet
,Renault Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Renault Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Tools (Renault Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Samero Spare parts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Samero Spare parts),Fleet,Vehicle Spareparts and accessories,Fleet
,Scania,Fleet,Cars,Fleet
,Scania Vehicles,Fleet,Cars,Fleet
,Scania Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Scania Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Schmitz spare Parts,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Schmitz spare Parts),Fleet,Vehicle Spareparts and accessories,Fleet
,Suzuki,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Miscellanous Items (Suzuki),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Toyota,Fleet,Cars,Fleet
,Coaster,Fleet,Cars,Fleet
,Corolla,Fleet,Cars,Fleet
,Dyna,Fleet,Cars,Fleet
,Hi-Ace,Fleet,Cars,Fleet
,Hi-Lux,Fleet,Cars,Fleet
,Land Cruiser 105,Fleet,Cars,Fleet
,Land Cruiser 200,Fleet,Cars,Fleet
,Land Cruiser 75,Fleet,Cars,Fleet
,Land Cruiser 76,Fleet,Cars,Fleet
,Land Cruiser 76F,Fleet,Cars,Fleet
,Land Cruiser 76V,Fleet,Cars,Fleet
,Land Cruiser 78 (Toyota),Fleet,Cars,Fleet
,Land Cruiser 78F,Fleet,Cars,Fleet
,Land Cruiser 78V,Fleet,Cars,Fleet
,Land Cruiser 79F,Fleet,Cars,Fleet
,Land Cruiser 79V,Fleet,Cars,Fleet
,Land Cruiser K120,Fleet,Cars,Fleet
,Land Cruiser K95,Fleet,Cars,Fleet
,Land Cruiser L120,Fleet,Cars,Fleet
,Land Cruiser L95,Fleet,Cars,Fleet
,Land Cruiser (Toyota),Fleet,Cars,Fleet
,Land Cruiser R120,Fleet,Cars,Fleet
,Land Cruiser R95,Fleet,Cars,Fleet
,RAV4 Toyota,Fleet,Cars,Fleet
,Rush,Fleet,Cars,Fleet
,TOYOTA FORTUNER,Fleet,Cars,Fleet
,Toyota Previa,Fleet,Cars,Fleet
,Toyota Spareparts (Toyota),Fleet,Vehicle Spareparts and accessories,Fleet
,Toyota Spareparts,Fleet,Vehicle Spareparts and accessories,Fleet
,Bullbars,Fleet,Vehicle Spareparts and accessories,Fleet
,Filters (Toyota Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Jack High-Lift,Fleet,Vehicle Spareparts and accessories,Fleet
,Miscellanous Items (Toyota Spareparts),Fleet,Vehicle Spareparts and accessories,Fleet
,Wheel Rim,Fleet,Vehicle Spareparts and accessories,Fleet
,Trailers For Trucks,Fleet,Vehicle Spareparts and accessories,Fleet
,Car Trailer,Fleet,Vehicle Spareparts and accessories,Fleet
,King Trailers,Fleet,Vehicle Spareparts and accessories,Fleet
,Trailers,Fleet,Vehicle Spareparts and accessories,Fleet
,Unknown,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Daily,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Truck (Unknown),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Vehicles,Fleet,Transport Items,Fleet
,Additive for diesel,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Additive for water,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Air conditioning for vehicle (Vehicles),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Battery clamp,Fleet,Vehicle Spareparts and accessories,Fleet
,Brake fluid,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Bumper,Fleet,Vehicle Spareparts and accessories,Fleet
,Car Battery,Fleet,Vehicle Spareparts and accessories,Fleet
,Coolant,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Coolant Testor,Fleet,Vehicle Spareparts and accessories,Fleet
,Corrosion preventive,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Electrical terminal,Fleet,Vehicle Spareparts and accessories,Fleet
,Epoxy,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Filler past,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Flags (Vehicles),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Fuel tanks,Fleet,Vehicle Spareparts and accessories,Fleet
,Fuels (Vehicles),Fleet,"Vehicle Fuel, Gas and Oil",Fleet
,Glues (Vehicles),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Grinding paste,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Hose fuel,Fleet,Vehicle Spareparts and accessories,Fleet
,Land Cruiser 78 (Vehicles),Fleet,Cars,Fleet
,Light Bulbs (Vehicles),Fleet,Vehicle Spareparts and accessories,Fleet
,Lubricants (Vehicles),Fleet,"Vehicle Fuel, Gas and Oil",Fleet
,Misc.Vehicle Accessories (Vehicles),Fleet,Vehicle Spareparts and accessories,Fleet
,Motobike Battery,Fleet,Vehicle Spareparts and accessories,Fleet
,Paint (Vehicles),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Polish past,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Registration plate,Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Repairing (Vehicles),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Rooftop,Fleet,Vehicle Spareparts and accessories,Fleet
,Seals and Sealing Material (Vehicles),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
,Thinner (Vehicles),Fleet,"Other (Transport, Fleet, Vehicles, Repairs and Maint.)",Fleet
